sample, value
0000, 9998
0001, 9998
0002, 9997
0003, 9995
0004, 9994
0005, 9994
0006, 9994
0007, 9993
0008, 9993
0009, 9993
0010, 9991
0011, 9990
0012, 9987
0013, 9985
0014, 9985
0015, 9984
0016, 9982
0017, 9981
0018, 9981
0019, 9980
0020, 9979
0021, 9978
0022, 9978
0023, 9977
0024, 9977
0025, 9977
0026, 9977
0027, 9977
0028, 9977
0029, 9976
0030, 9976
0031, 9975
0032, 9974
0033, 9974
0034, 9974
0035, 9971
0036, 9970
0037, 9968
0038, 9968
0039, 9967
0040, 9967
0041, 9966
0042, 9965
0043, 9965
0044, 9963
0045, 9962
0046, 9961
0047, 9961
0048, 9960
0049, 9957
0050, 9957
0051, 9956
0052, 9956
0053, 9956
0054, 9955
0055, 9954
0056, 9953
0057, 9952
0058, 9951
0059, 9950
0060, 9950
0061, 9950
0062, 9950
0063, 9950
0064, 9949
0065, 9948
0066, 9946
0067, 9944
0068, 9943
0069, 9942
0070, 9942
0071, 9941
0072, 9941
0073, 9941
0074, 9941
0075, 9940
0076, 9939
0077, 9934
0078, 9934
0079, 9933
0080, 9932
0081, 9928
0082, 9925
0083, 9925
0084, 9924
0085, 9923
0086, 9922
0087, 9921
0088, 9921
0089, 9920
0090, 9919
0091, 9918
0092, 9918
0093, 9917
0094, 9916
0095, 9915
0096, 9915
0097, 9915
0098, 9915
0099, 9914
0100, 9914
0101, 9913
0102, 9913
0103, 9912
0104, 9910
0105, 9910
0106, 9909
0107, 9908
0108, 9906
0109, 9905
0110, 9904
0111, 9904
0112, 9903
0113, 9902
0114, 9902
0115, 9901
0116, 9901
0117, 9901
0118, 9899
0119, 9899
0120, 9899
0121, 9899
0122, 9898
0123, 9898
0124, 9895
0125, 9895
0126, 9893
0127, 9892
0128, 9891
0129, 9890
0130, 9890
0131, 9889
0132, 9887
0133, 9887
0134, 9886
0135, 9885
0136, 9881
0137, 9880
0138, 9880
0139, 9880
0140, 9878
0141, 9878
0142, 9875
0143, 9872
0144, 9871
0145, 9871
0146, 9871
0147, 9870
0148, 9868
0149, 9867
0150, 9866
0151, 9864
0152, 9862
0153, 9860
0154, 9860
0155, 9859
0156, 9859
0157, 9858
0158, 9857
0159, 9857
0160, 9857
0161, 9856
0162, 9856
0163, 9855
0164, 9855
0165, 9855
0166, 9854
0167, 9854
0168, 9853
0169, 9853
0170, 9851
0171, 9848
0172, 9846
0173, 9846
0174, 9846
0175, 9846
0176, 9842
0177, 9842
0178, 9841
0179, 9840
0180, 9839
0181, 9839
0182, 9836
0183, 9836
0184, 9833
0185, 9833
0186, 9832
0187, 9832
0188, 9832
0189, 9831
0190, 9830
0191, 9829
0192, 9829
0193, 9827
0194, 9825
0195, 9824
0196, 9819
0197, 9819
0198, 9819
0199, 9817
0200, 9816
0201, 9814
0202, 9814
0203, 9813
0204, 9812
0205, 9807
0206, 9806
0207, 9801
0208, 9800
0209, 9797
0210, 9796
0211, 9794
0212, 9793
0213, 9792
0214, 9792
0215, 9786
0216, 9784
0217, 9783
0218, 9782
0219, 9781
0220, 9779
0221, 9778
0222, 9778
0223, 9777
0224, 9774
0225, 9772
0226, 9769
0227, 9769
0228, 9769
0229, 9769
0230, 9768
0231, 9768
0232, 9767
0233, 9767
0234, 9767
0235, 9766
0236, 9765
0237, 9763
0238, 9762
0239, 9762
0240, 9761
0241, 9760
0242, 9759
0243, 9758
0244, 9758
0245, 9757
0246, 9754
0247, 9754
0248, 9752
0249, 9749
0250, 9749
0251, 9749
0252, 9749
0253, 9748
0254, 9747
0255, 9747
0256, 9744
0257, 9743
0258, 9740
0259, 9740
0260, 9739
0261, 9738
0262, 9737
0263, 9733
0264, 9733
0265, 9732
0266, 9731
0267, 9730
0268, 9730
0269, 9729
0270, 9723
0271, 9723
0272, 9722
0273, 9722
0274, 9722
0275, 9722
0276, 9721
0277, 9721
0278, 9721
0279, 9720
0280, 9720
0281, 9720
0282, 9718
0283, 9717
0284, 9717
0285, 9716
0286, 9715
0287, 9715
0288, 9715
0289, 9714
0290, 9713
0291, 9709
0292, 9709
0293, 9707
0294, 9707
0295, 9705
0296, 9705
0297, 9704
0298, 9702
0299, 9701
0300, 9700
0301, 9699
0302, 9699
0303, 9697
0304, 9697
0305, 9697
0306, 9696
0307, 9695
0308, 9692
0309, 9692
0310, 9691
0311, 9690
0312, 9689
0313, 9688
0314, 9688
0315, 9686
0316, 9686
0317, 9684
0318, 9683
0319, 9683
0320, 9682
0321, 9680
0322, 9680
0323, 9679
0324, 9678
0325, 9676
0326, 9674
0327, 9674
0328, 9674
0329, 9673
0330, 9673
0331, 9671
0332, 9670
0333, 9669
0334, 9668
0335, 9667
0336, 9665
0337, 9665
0338, 9664
0339, 9663
0340, 9663
0341, 9663
0342, 9662
0343, 9661
0344, 9660
0345, 9659
0346, 9658
0347, 9658
0348, 9658
0349, 9657
0350, 9657
0351, 9656
0352, 9656
0353, 9656
0354, 9656
0355, 9655
0356, 9655
0357, 9655
0358, 9654
0359, 9653
0360, 9653
0361, 9652
0362, 9652
0363, 9652
0364, 9651
0365, 9651
0366, 9650
0367, 9649
0368, 9648
0369, 9648
0370, 9647
0371, 9647
0372, 9646
0373, 9646
0374, 9644
0375, 9643
0376, 9643
0377, 9641
0378, 9641
0379, 9640
0380, 9639
0381, 9639
0382, 9638
0383, 9637
0384, 9637
0385, 9637
0386, 9635
0387, 9635
0388, 9635
0389, 9633
0390, 9632
0391, 9632
0392, 9632
0393, 9630
0394, 9629
0395, 9629
0396, 9627
0397, 9625
0398, 9623
0399, 9622
0400, 9621
0401, 9621
0402, 9620
0403, 9619
0404, 9617
0405, 9617
0406, 9617
0407, 9616
0408, 9616
0409, 9615
0410, 9613
0411, 9612
0412, 9611
0413, 9608
0414, 9608
0415, 9607
0416, 9607
0417, 9606
0418, 9606
0419, 9605
0420, 9600
0421, 9598
0422, 9597
0423, 9595
0424, 9594
0425, 9594
0426, 9590
0427, 9590
0428, 9589
0429, 9589
0430, 9588
0431, 9585
0432, 9585
0433, 9583
0434, 9582
0435, 9581
0436, 9581
0437, 9580
0438, 9579
0439, 9578
0440, 9577
0441, 9577
0442, 9577
0443, 9576
0444, 9576
0445, 9575
0446, 9574
0447, 9573
0448, 9573
0449, 9573
0450, 9573
0451, 9571
0452, 9568
0453, 9566
0454, 9566
0455, 9565
0456, 9563
0457, 9563
0458, 9562
0459, 9561
0460, 9560
0461, 9560
0462, 9559
0463, 9558
0464, 9558
0465, 9557
0466, 9557
0467, 9557
0468, 9556
0469, 9555
0470, 9554
0471, 9554
0472, 9551
0473, 9550
0474, 9550
0475, 9550
0476, 9549
0477, 9549
0478, 9548
0479, 9547
0480, 9545
0481, 9544
0482, 9543
0483, 9541
0484, 9540
0485, 9539
0486, 9537
0487, 9534
0488, 9532
0489, 9531
0490, 9531
0491, 9529
0492, 9528
0493, 9528
0494, 9527
0495, 9527
0496, 9524
0497, 9522
0498, 9522
0499, 9520
0500, 9519
0501, 9519
0502, 9519
0503, 9517
0504, 9516
0505, 9516
0506, 9515
0507, 9515
0508, 9513
0509, 9512
0510, 9512
0511, 9511
0512, 9511
0513, 9511
0514, 9509
0515, 9509
0516, 9508
0517, 9507
0518, 9503
0519, 9503
0520, 9497
0521, 9497
